,p_c,p_d,tn_rank,tn_mean_score,tn_mean_time,agents
0,0.0,0.0,26,489.8274193548387,3.775213,"TitForTat,OmegaTFT,AllC,AllD"
1,0.0,0.2,27,481.81129032258065,2.350425000000001,"TitForTat,OmegaTFT,AllC,AllD"
2,0.0,0.4,26,499.8338709677419,3.1797189999999986,"TitForTat,OmegaTFT,AllC,AllD"
3,0.0,0.6,29,477.36451612903227,3.5317499999999993,"TitForTat,OmegaTFT,AllC,AllD"
4,0.0,0.8,27,502.68548387096774,2.0957220000000008,"TitForTat,OmegaTFT,AllC,AllD"
5,0.0,1.0,31,472.4129032258065,1.7880629999999993,"TitForTat,OmegaTFT,AllC,AllD"
6,0.2,0.0,30,444.73225806451615,3.609018,"TitForTat,OmegaTFT,AllC,AllD"
7,0.2,0.2,25,520.7193548387097,2.613117999999999,"TitForTat,OmegaTFT,AllC,AllD"
8,0.2,0.4,29,472.1645161290323,2.2369929999999996,"TitForTat,OmegaTFT,AllC,AllD"
9,0.2,0.6,27,488.89354838709676,2.185522999999999,"TitForTat,OmegaTFT,AllC,AllD"
10,0.2,0.8,28,481.05,1.8769710000000008,"TitForTat,OmegaTFT,AllC,AllD"
11,0.2,1.0,31,445.3209677419355,1.6170110000000004,"TitForTat,OmegaTFT,AllC,AllD"
12,0.4,0.0,25,490.73548387096776,3.5403279999999984,"TitForTat,OmegaTFT,AllC,AllD"
13,0.4,0.2,26,500.30645161290323,2.0350909999999995,"TitForTat,OmegaTFT,AllC,AllD"
14,0.4,0.4,25,492.0838709677419,2.599023,"TitForTat,OmegaTFT,AllC,AllD"
15,0.4,0.6,28,480.74032258064517,2.559113,"TitForTat,OmegaTFT,AllC,AllD"
16,0.4,0.8,25,504.85645161290324,1.6493560000000003,"TitForTat,OmegaTFT,AllC,AllD"
17,0.4,1.0,30,465.26290322580644,1.3599320000000004,"TitForTat,OmegaTFT,AllC,AllD"
18,0.6,0.0,29,466.85,3.0795240000000006,"TitForTat,OmegaTFT,AllC,AllD"
19,0.6,0.2,25,541.6967741935484,2.8290519999999995,"TitForTat,OmegaTFT,AllC,AllD"
20,0.6,0.4,26,502.93709677419355,2.391196,"TitForTat,OmegaTFT,AllC,AllD"
21,0.6,0.6,27,488.06774193548387,2.0090419999999996,"TitForTat,OmegaTFT,AllC,AllD"
22,0.6,0.8,26,528.5419354838709,2.8430070000000005,"TitForTat,OmegaTFT,AllC,AllD"
23,0.6,1.0,27,494.6790322580645,1.4489779999999999,"TitForTat,OmegaTFT,AllC,AllD"
24,0.8,0.0,29,464.0790322580645,2.2519670000000005,"TitForTat,OmegaTFT,AllC,AllD"
25,0.8,0.2,25,533.8322580645162,1.9850249999999987,"TitForTat,OmegaTFT,AllC,AllD"
26,0.8,0.4,26,527.2741935483871,1.8017159999999997,"TitForTat,OmegaTFT,AllC,AllD"
27,0.8,0.6,25,556.4483870967742,1.6270349999999996,"TitForTat,OmegaTFT,AllC,AllD"
28,0.8,0.8,25,513.9822580645161,1.5569879999999998,"TitForTat,OmegaTFT,AllC,AllD"
29,0.8,1.0,25,561.8564516129032,1.209997,"TitForTat,OmegaTFT,AllC,AllD"
30,1.0,0.0,25,651.9741935483871,2.16309,"TitForTat,OmegaTFT,AllC,AllD"
31,1.0,0.2,16,748.5048387096774,1.358006,"TitForTat,OmegaTFT,AllC,AllD"
32,1.0,0.4,18,744.8612903225807,1.017009,"TitForTat,OmegaTFT,AllC,AllD"
33,1.0,0.6,25,694.266129032258,1.077021,"TitForTat,OmegaTFT,AllC,AllD"
34,1.0,0.8,23,704.0290322580645,1.3320399999999997,"TitForTat,OmegaTFT,AllC,AllD"
35,1.0,1.0,23,724.9290322580645,0.9609040000000001,"TitForTat,OmegaTFT,AllC,AllD"
