,lookback,tr_cooperation_percentage,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_mean_score,agent
1,2,0.162404,4.58181,2290905,-790905,1225.93,Adams
2,2,0.121232,4.707306,2353653,-853653,1218.83,Nydegger
3,4,0.546058,2.472308,1236154,263846,1019.565,TidemanAndChieruzzi2
4,4,0.238278,4.428908,2214454,-714454,958.59,Adams
5,2,0.237332,1.227106,613553,886447,950.325,TidemanAndChieruzzi
6,2,0.14237,0.98515,492575,1007425,946.635,Friedman
7,4,0.215648,1.16905,584525,915475,932.67,GraaskampAndKatzen
8,4,0.294912,1.522772,761386,738614,928.06,Graaskamp
9,4,0.161004,1.047066,523533,976467,927.18,Davis
10,2,0.198328,1.142668,571334,928666,871.155,GraaskampAndKatzen
